Category,Image,Sil_5,Sil_10,Sil_20,Sil_30,Sil_40,Sil_50,Sil_60,Sil_80,Sil_100
train,036_2_c5_014484,3,4,11,20,22,6,24,38,33
train,036_2_c5_014485,3,8,11,3,22,21,11,38,82
train,036_2_c5_014486,1,6,13,10,17,12,8,50,37
train,036_2_c5_014487,1,9,1,19,4,24,41,70,24
train,036_2_c5_014492,3,4,3,29,18,5,40,29,33
train,036_2_c5_014493,2,5,0,9,25,27,52,37,43
train,036_2_c5_014494,3,4,2,20,12,14,0,29,33
train,036_2_c5_014495,4,9,7,6,6,4,35,18,85
train,036_2_c5_014496,1,9,1,23,24,10,14,10,91
train,036_2_c5_014497,1,9,13,23,24,10,14,44,91
train,036_2_c5_014498,0,2,15,14,33,25,49,51,64
train,036_2_c5_014499,0,2,8,2,29,46,54,3,97
train,036_2_c5_014500,3,4,11,29,22,6,15,8,2
train,036_2_c5_014501,0,6,13,14,29,25,22,24,28
train,036_2_c5_014502,1,4,8,2,12,46,0,3,36
train,036_2_c5_014503,0,6,2,14,10,25,28,24,98
train,036_2_c5_014504,1,4,8,2,12,46,0,3,36
train,036_2_c5_014505,1,9,19,5,19,1,14,45,91
train,036_2_c5_014506,2,5,5,17,28,0,47,79,63
train,036_2_c5_014507,2,5,5,9,23,49,6,0,87
train,036_2_c5_014508,0,6,6,14,17,25,37,53,38
train,036_2_c5_014509,0,2,15,14,33,11,31,33,90
train,036_2_c5_014510,3,4,3,29,22,6,15,8,2
train,036_2_c5_014511,1,9,3,5,37,28,25,4,88
train,036_2_c5_014512,4,9,7,6,6,4,35,67,85
train,036_2_c5_014513,1,3,14,18,39,32,58,63,6
train,036_2_c5_014514,3,4,3,3,22,6,15,8,2
train,036_2_c5_014515,1,4,3,5,37,28,25,49,99
train,036_2_c5_014516,1,5,5,17,28,0,42,79,63
train,036_2_c5_014517,2,0,14,6,6,4,35,67,88
train,036_2_c7_014518,1,9,3,5,37,28,25,11,45
train,036_2_c7_014519,1,9,1,10,9,33,1,19,36
train,036_2_c7_014520,4,1,10,26,21,38,46,40,95
train,036_2_c7_014521,0,5,5,17,14,43,48,64,34
train,036_2_c7_014522,2,5,5,9,23,49,13,0,23
train,036_2_c7_014523,2,5,0,9,23,49,10,0,23
train,036_2_c7_014524,3,4,2,3,16,35,24,1,33
train,036_2_c7_014525,3,4,11,3,22,6,15,38,2
train,036_2_c7_014526,2,0,19,8,8,39,20,72,81
train,036_2_c7_014527,1,9,1,23,30,26,29,19,79
train,039_1_c5_010384,0,6,8,2,12,46,54,73,36
train,039_1_c5_010385,1,6,1,13,17,36,1,78,16
train,039_1_c5_010386,0,5,8,2,30,27,54,3,97
train,039_1_c5_010387,4,1,8,2,30,26,54,3,97
train,039_1_c5_010388,3,4,11,3,16,35,24,1,27
train,039_1_c5_010389,2,7,9,6,6,4,1,67,16
train,039_1_c5_010390,1,6,13,10,9,5,38,73,68
train,039_1_c5_010391,1,4,3,5,37,28,25,4,45
train,039_1_c5_010392,1,7,9,13,1,36,1,78,16
train,039_1_c9_010393,1,4,8,20,12,46,0,29,55
train,039_1_c9_010394,4,9,8,2,30,26,29,3,52
train,039_2_c6_010395,4,5,0,22,14,43,6,64,72
train,039_2_c6_010396,1,6,13,23,1,2,14,10,39
train,039_2_c6_010397,1,6,13,13,17,36,9,50,39
train,039_2_c6_010398,1,6,13,10,9,33,9,44,30
train,039_2_c6_010399,3,4,18,27,15,44,28,59,77
train,039_2_c6_010400,3,4,2,29,16,6,24,59,27
train,039_2_c6_010401,0,6,18,27,15,15,7,35,77
train,039_2_c6_010402,2,5,5,9,25,27,6,69,73
train,039_2_c6_010403,0,7,9,22,13,16,33,47,22
train,039_2_c6_010404,2,5,5,9,23,49,4,79,87
train,039_2_c6_010405,0,6,18,27,2,12,8,44,25
train,039_2_c6_010406,1,6,18,27,15,44,7,23,77
train,039_2_c6_010407,0,6,18,27,15,27,55,23,77
train,039_2_c6_010408,0,5,5,22,25,43,42,64,72
train,039_2_c6_010409,2,9,7,24,38,42,19,57,11
train,039_2_c9_010410,2,0,0,8,27,22,52,56,17
train,039_2_c9_010411,0,4,2,20,19,14,51,45,14
train,039_2_c9_010412,2,5,0,9,27,27,52,69,86
train,039_2_c9_010413,2,5,5,17,2,0,47,68,87
train,039_2_c9_010414,4,7,9,21,3,23,56,58,89
train,039_2_c9_010415,2,3,4,0,5,19,34,41,8
train,040_1_c11_010650,0,7,9,4,34,37,33,76,70
train,040_1_c11_010653,4,7,9,22,13,26,33,21,7
train,040_1_c11_010654,1,6,13,7,17,2,8,50,39
train,040_1_c11_010655,2,5,5,17,2,12,47,37,1
train,040_1_c11_010656,1,7,9,23,1,37,37,58,85
train,040_1_c11_010657,2,0,17,6,6,4,17,67,93
train,040_1_c11_010658,0,2,6,14,20,11,21,53,38
train,040_1_c11_010659,1,6,13,7,24,2,39,13,98
train,040_1_c11_010660,1,4,13,7,24,5,40,29,75
train,040_1_c11_010661,0,7,6,21,3,23,56,35,89
train,040_1_c11_010662,1,7,1,13,1,7,1,15,39
train,040_1_c11_010663,0,7,6,13,3,33,56,28,5
train,040_1_c11_010664,1,4,13,29,18,17,40,6,65
train,040_1_c11_010665,1,9,1,23,1,10,41,48,3
train,040_1_c11_010666,0,5,8,22,13,43,33,64,34
train,040_1_c4_010651,1,4,3,29,18,5,40,29,75
train,040_1_c4_010652,1,9,3,23,38,42,19,57,11
train,040_1_c4_010667,1,6,13,10,24,2,38,55,14
train,040_1_c4_010668,1,7,1,22,13,26,29,19,79
train,040_1_c4_010669,1,6,13,10,9,5,38,29,75
train,040_1_c4_010670,2,0,19,8,27,22,16,11,86
train,040_1_c4_010671,4,4,8,2,12,46,32,34,97
train,040_1_c4_010672,4,1,8,24,0,46,44,34,57
train,040_1_c4_010673,4,1,7,8,27,27,52,69,86
train,040_1_c4_010674,1,6,18,7,24,44,28,59,30
train,040_1_c4_010675,0,6,18,27,15,44,7,23,43
train,040_1_c4_010676,1,6,13,7,24,5,40,29,75
train,040_1_c4_010677,0,7,9,22,13,16,33,21,44
train,040_1_c4_010678,2,3,5,20,19,14,0,64,0
train,040_1_c4_010679,1,6,18,7,24,44,28,13,46
train,040_1_c4_010680,1,7,9,13,28,7,42,15,63
train,040_1_c4_010681,1,6,13,7,24,2,9,10,39
train,040_1_c4_010682,2,5,5,17,2,12,4,37,87
train,040_1_c4_010683,1,9,8,2,30,26,29,19,34
train,040_1_c4_010684,2,0,4,0,23,29,20,0,23
train,040_1_c4_010685,3,8,12,24,0,30,53,52,51
train,040_1_c4_010686,3,4,11,29,22,6,15,8,71
train,040_1_c4_010687,1,6,13,7,24,5,38,13,75
train,040_1_c4_010688,3,3,2,20,19,14,18,59,40
train,040_1_c4_010689,2,5,5,17,28,43,42,64,87
train,040_1_c4_010690,1,7,1,22,25,7,42,15,35
train,040_1_c4_010691,4,7,9,19,13,7,30,48,7
train,040_1_c4_010692,1,9,1,19,19,26,35,45,79
train,040_1_c4_010693,3,4,3,29,18,6,15,8,2
train,040_1_c9_010694,3,4,11,18,22,6,26,36,71
train,040_1_c9_010695,4,9,7,19,4,24,3,25,24
train,040_1_c9_010696,2,3,4,0,8,39,34,14,81
train,040_1_c9_010697,4,0,0,28,26,13,2,56,17
train,040_1_c9_010698,4,1,9,22,34,37,33,76,70
train,040_1_c9_010699,4,7,0,28,4,37,52,58,85
train,040_1_c9_010700,3,4,11,3,22,6,15,26,40
train,040_1_c9_010701,0,2,6,14,29,15,55,33,28
train,040_1_c9_010702,2,0,17,16,26,13,10,32,80
train,040_1_c9_010703,1,9,19,5,37,1,35,49,88
train,040_1_c9_010704,1,4,12,1,32,18,59,43,19
train,040_2_c11_010705,1,9,8,2,30,26,29,19,52
train,040_2_c11_010708,3,3,14,15,39,45,27,7,6
train,040_2_c11_010709,1,9,1,13,19,31,35,11,79
train,040_2_c11_010710,1,7,14,6,6,4,17,18,63
train,040_2_c11_010711,1,4,13,7,18,17,40,6,65
train,040_2_c11_010712,0,2,15,25,7,11,31,31,26
train,040_2_c11_010713,3,3,16,25,7,47,50,75,26
train,040_2_c11_010714,0,2,15,25,7,11,31,31,90
train,040_2_c11_010715,0,2,15,14,20,11,31,53,22
train,040_2_c11_010716,1,6,12,1,32,18,59,43,19
train,040_2_c11_010717,3,4,12,1,32,18,59,43,19
train,040_2_c11_010718,4,1,0,28,14,13,10,30,20
train,040_2_c11_010719,1,7,9,22,13,26,33,21,7
train,040_2_c11_010720,1,7,1,13,1,7,1,10,39
train,040_2_c11_010721,4,5,8,22,25,43,42,15,34
train,040_2_c11_010722,1,7,9,13,1,16,1,47,7
train,040_2_c11_010723,0,7,9,22,13,16,56,47,22
train,040_2_c11_010724,0,2,6,14,17,25,22,53,38
train,040_2_c11_010725,1,6,13,7,24,5,38,73,30
train,040_2_c11_010726,1,6,18,27,15,27,7,23,25
train,040_2_c11_010727,2,5,0,9,14,43,6,64,34
train,040_2_c6_010706,1,7,1,13,1,36,1,78,16
train,040_2_c6_010707,4,1,0,27,15,27,52,23,86
train,040_2_c6_010728,2,3,4,0,23,29,20,22,81
train,040_2_c6_010729,1,6,14,13,17,36,39,78,39
train,040_2_c6_010730,1,9,14,23,37,17,39,18,53
train,040_2_c6_010731,2,0,17,6,6,9,57,39,74
train,040_2_c6_010732,0,2,15,25,33,11,31,31,90
train,040_2_c6_010733,0,2,18,14,33,34,37,24,28
train,040_2_c6_010734,1,6,13,7,24,2,38,13,39
train,040_2_c6_010735,1,9,12,1,32,18,59,43,19
train,040_2_c6_010736,2,5,5,17,2,12,42,37,1
train,040_2_c6_010737,1,7,6,17,28,12,42,15,1
train,040_2_c6_010738,1,6,18,27,15,44,7,23,25
train,040_2_c6_010739,0,2,15,14,33,11,31,33,0
train,040_2_c6_010740,1,6,13,7,24,2,38,13,30
train,040_2_c6_010741,4,1,10,26,21,38,46,40,4
train,040_2_c6_010742,0,6,2,20,19,14,51,66,37
train,040_2_c6_010743,2,3,4,0,8,29,34,27,81
train,040_2_c6_010744,1,6,13,23,24,2,38,10,39
train,040_2_c6_010745,3,3,16,12,35,41,36,7,41
train,040_2_c6_010746,2,5,5,17,2,12,47,37,1
train,040_2_c6_010747,2,3,4,0,36,29,47,27,21
train,040_2_c6_010748,1,6,13,23,24,5,40,10,75
train,040_2_c6_010749,1,5,8,2,12,31,51,11,36
train,040_2_c6_010750,2,5,5,9,23,49,20,72,81
train,040_2_c6_010751,0,2,6,14,10,25,22,53,38
train,040_2_c6_010752,1,6,13,23,24,2,14,10,39
train,040_2_c6_010753,4,7,7,19,4,24,30,48,42
train,040_2_c9_010754,3,8,16,12,31,20,36,54,13
train,040_2_c9_010755,2,5,5,17,12,1,10,37,74
train,040_2_c9_010756,4,9,7,19,4,4,3,25,85
train,040_2_c9_010757,2,3,4,0,5,29,13,22,94
train,040_2_c9_010758,1,9,1,23,19,10,1,45,79
train,040_2_c9_010759,1,9,8,20,12,14,51,11,36
train,053_1_c4_004615,4,1,7,11,11,40,45,17,15
train,053_1_c4_004616,4,1,7,11,11,40,45,20,12
train,053_1_c4_004617,2,3,4,15,35,29,13,22,69
train,053_1_c4_004618,3,8,16,12,31,20,36,16,13
train,053_2_c11_004621,3,3,2,15,16,35,24,66,33
train,053_2_c11_004622,3,8,11,3,22,6,15,8,82
train,053_2_c11_004623,1,6,3,10,17,33,22,50,84
train,053_2_c11_004624,3,4,3,29,22,6,15,8,2
train,053_2_c11_004625,2,5,0,9,23,49,6,0,74
train,053_2_c11_004626,3,8,2,3,16,8,5,26,29
train,053_2_c11_004627,2,5,5,17,2,0,47,79,87
train,053_2_c11_004628,1,4,3,29,18,5,40,29,75
train,053_2_c4_004629,0,6,6,7,3,2,38,13,46
train,053_2_c4_004630,2,5,5,9,25,43,42,37,35
train,053_2_c6_004619,1,9,1,5,37,10,14,70,91
train,053_2_c6_004620,1,4,3,29,38,42,19,57,11
train,053_2_c6_004631,1,6,13,7,24,2,38,10,98
train,053_2_c6_004632,1,9,3,23,24,5,14,10,30
train,053_2_c6_004633,1,7,1,13,1,7,30,28,7
train,053_2_c6_004634,4,9,3,24,38,42,19,57,24
train,053_2_c6_004635,1,9,1,10,9,33,41,28,76
train,053_2_c6_004636,1,9,1,10,9,33,41,28,76
train,053_2_c6_004637,1,6,6,7,10,25,38,13,98
train,053_2_c6_004638,0,6,6,21,20,12,21,13,1
train,053_2_c6_004639,3,4,11,20,12,14,0,66,55
train,053_2_c6_004640,0,5,5,9,23,15,6,65,49
train,053_2_c6_004641,0,6,6,7,17,2,21,13,98
train,053_2_c6_004642,4,5,8,2,30,46,29,3,97
train,053_2_c6_004643,1,6,13,7,24,44,38,13,30
train,053_2_c6_004644,1,4,3,5,37,28,25,4,45
train,053_2_c6_004645,1,9,1,19,4,24,41,70,79
train,053_2_c6_004646,0,7,9,22,13,16,56,47,22
train,053_2_c6_004647,2,3,9,6,6,31,27,7,12
train,053_2_c6_004648,1,6,6,7,24,2,38,13,61
train,053_2_c6_004649,2,3,4,15,36,29,13,65,49
train,053_2_c6_004650,4,1,7,24,38,24,3,25,42
train,053_2_c6_004651,3,4,3,29,18,17,15,8,2
train,053_2_c6_004652,0,2,2,14,10,25,28,24,98
train,053_2_c6_004653,1,9,3,5,37,1,14,45,91
train,053_2_c6_004654,0,2,6,4,33,34,37,12,28
train,053_2_c6_004655,0,2,6,14,10,25,22,53,38
train,053_2_c6_004656,1,9,18,24,38,42,7,23,91
train,053_2_c9_004657,1,9,13,23,17,17,39,10,53
train,053_2_c9_004658,3,4,11,24,22,6,15,8,82
train,053_2_c9_004659,3,8,11,3,22,21,23,62,56
train,053_2_c9_004660,3,8,11,3,22,21,11,62,54
train,053_2_c9_004661,3,8,16,12,31,20,23,62,54
train,053_2_c9_004662,3,4,11,24,38,30,53,52,51
train,053_3_c4_004663,1,6,18,27,15,44,7,23,43
train,053_3_c4_004664,0,3,18,27,36,15,55,65,46
train,053_3_c4_004665,1,6,1,10,9,33,9,28,76
train,053_3_c4_004666,0,6,13,14,29,25,28,24,98
train,053_3_c4_004667,0,6,2,14,16,35,28,1,46
train,053_3_c4_004668,1,9,14,18,39,25,22,67,93
train,053_3_c4_004669,2,3,4,0,36,29,13,22,94
train,053_3_c4_004670,1,6,6,21,20,15,21,35,92
train,053_3_c4_004671,0,4,2,20,16,35,28,1,46
train,053_3_c4_004672,2,9,3,24,38,42,19,57,11
train,053_3_c4_004673,2,0,19,8,8,39,16,11,9
train,053_3_c4_004674,0,6,18,21,29,7,14,60,61
train,053_3_c4_004675,4,1,7,19,4,24,3,25,42
train,053_3_c4_004676,1,6,13,7,24,2,9,10,99
train,053_3_c4_004677,1,9,13,23,1,10,14,10,3
train,053_3_c4_004678,1,6,14,23,17,36,39,78,53
train,053_3_c6_004679,1,4,3,29,18,28,25,4,99
train,053_3_c6_004680,1,6,6,13,17,36,21,50,92
train,053_3_c6_004681,2,5,5,9,23,43,6,64,72
train,053_3_c6_004682,1,7,9,22,13,16,42,47,22
train,053_3_c6_004683,1,6,13,7,24,2,39,13,98
train,053_3_c6_004684,0,2,2,14,10,25,22,51,64
train,053_3_c6_004685,1,6,6,7,24,2,38,50,98
train,053_3_c6_004686,1,6,1,10,17,33,9,28,76
train,053_3_c6_004687,1,4,3,23,18,5,40,29,75
train,053_3_c6_004688,1,6,13,7,24,2,38,13,98
train,040_3_c11_010760,4,1,7,11,11,40,45,71,44
train,048_1_c9_003605,1,6,18,23,1,31,51,19,36
train,048_1_c9_003606,4,1,0,28,14,3,48,30,17
train,048_1_c9_003607,3,4,11,3,16,21,24,1,27
train,048_1_c9_003608,2,0,19,8,19,31,51,11,73
train,048_1_c9_003609,1,4,2,20,12,14,51,73,36
train,048_1_c9_003610,1,6,13,7,24,44,40,73,30
train,048_1_c9_003611,3,8,4,0,5,19,34,22,94
train,048_1_c9_003612,1,4,3,29,18,28,25,4,45
train,048_1_c9_003613,2,0,19,8,8,39,20,72,9
train,048_1_c9_003614,4,1,10,11,11,40,45,17,66
train,048_1_c9_003615,1,4,3,29,18,42,19,55,65
train,048_1_c9_003616,3,4,3,29,18,6,15,8,45
train,048_1_c9_003617,3,4,3,29,18,6,15,51,55
train,048_1_c9_003618,0,2,6,14,29,25,22,24,28
train,048_1_c9_003619,1,6,14,13,17,36,39,78,53
train,048_1_c9_003620,3,8,17,18,5,19,26,36,8
train,048_1_c9_003621,3,8,16,12,31,20,36,54,13
train,048_2_c11_003622,1,4,3,23,37,17,39,45,99
train,048_2_c11_003624,4,1,7,19,4,26,3,25,52
train,048_2_c11_003625,1,6,13,7,24,2,38,13,98
train,048_2_c11_003626,0,5,18,27,15,12,7,23,43
train,048_2_c11_003627,4,1,10,26,21,3,48,61,48
train,048_2_c11_003628,2,5,5,9,14,43,10,37,87
train,048_2_c11_003629,1,6,13,7,24,2,8,50,37
train,048_2_c11_003630,1,9,14,23,1,10,39,45,53
train,048_2_c11_003631,3,0,19,0,5,19,26,41,8
train,048_2_c11_003632,2,5,5,17,2,0,4,68,87
train,048_2_c11_003633,1,7,1,19,1,7,14,58,85
train,048_2_c11_003634,2,5,0,28,14,37,10,30,20
train,048_2_c11_003635,1,6,13,7,24,2,38,13,30
train,048_2_c11_003636,1,9,8,2,30,10,29,70,36
train,048_2_c11_003637,2,6,18,27,15,44,7,23,77
train,048_2_c11_003638,3,4,11,3,22,6,15,38,82
train,048_2_c11_003639,1,4,13,10,19,25,22,45,99
train,048_2_c11_003640,1,6,13,7,24,2,8,44,37
train,048_2_c11_003641,2,3,4,17,2,0,47,79,94
train,048_2_c11_003642,2,0,17,16,5,32,26,41,8
train,048_2_c6_003623,0,5,5,17,2,31,55,2,14
train,048_2_c6_003643,1,4,13,23,24,5,39,10,53
train,048_2_c6_003644,1,4,3,23,18,17,39,6,53
train,048_2_c6_003645,1,9,1,23,1,33,9,10,39
train,048_2_c6_003646,1,6,13,7,24,44,8,44,30
train,048_2_c6_003647,1,9,3,5,37,28,25,4,99
train,048_2_c6_003648,1,6,18,27,29,44,28,73,77
train,048_2_c6_003649,1,7,9,22,25,7,42,15,35
train,048_2_c6_003650,1,9,1,5,37,1,35,70,91
train,048_2_c9_003651,4,7,7,19,4,4,3,58,85
train,048_2_c9_003652,4,7,7,19,4,24,3,25,42
train,048_2_c9_003653,3,8,16,12,31,45,23,54,56
train,048_2_c9_003654,3,8,11,3,0,21,11,62,54
train,048_2_c9_003655,3,4,11,29,22,6,15,8,2
train,048_2_c9_003656,2,0,19,8,27,22,16,11,9
train,048_2_c9_003657,2,0,17,16,5,9,57,72,80
train,048_2_c9_003658,3,8,11,18,22,6,18,45,71
train,048_3_c11_003659,4,9,3,5,37,1,35,49,88
train,048_3_c11_003660,2,0,19,8,27,22,20,72,9
train,048_3_c11_003661,4,9,12,1,32,18,59,17,88
train,048_3_c11_003662,4,1,12,1,32,18,59,17,19
train,048_3_c11_003663,4,1,10,26,21,38,46,40,95
train,048_3_c9_003664,2,5,19,8,27,31,20,69,73
train,048_3_c9_003665,4,7,19,8,27,31,52,69,73
train,048_3_c9_003666,3,4,8,20,12,46,0,3,55
train,048_3_c9_003667,3,4,8,20,12,46,0,3,55
train,048_3_c9_003668,4,1,8,2,30,3,48,3,58
train,050_1_c12_016044,1,4,3,5,37,28,25,4,99
train,050_1_c12_016045,2,5,0,9,27,27,52,69,86
train,050_1_c12_016046,4,9,7,19,4,24,30,25,24
train,050_1_c12_016047,1,9,1,23,1,10,14,70,91
train,050_1_c12_016048,4,9,7,19,4,24,30,25,42
train,050_1_c12_016049,1,9,1,19,4,24,41,70,24
train,050_1_c12_016050,1,6,13,7,24,2,8,50,37
train,050_1_c1_016051,1,7,1,13,25,7,42,15,35
train,050_1_c1_016052,1,6,18,27,17,12,8,44,37
train,050_1_c1_016053,1,9,1,19,4,10,14,70,91
train,050_1_c5_016043,4,9,7,19,4,24,3,25,42
train,050_1_c5_016054,0,2,6,17,20,11,21,2,92
train,050_1_c5_016055,1,6,13,7,24,44,40,73,30
train,050_1_c5_016056,2,5,5,9,23,49,47,68,49
train,050_1_c5_016057,4,1,10,26,21,38,46,40,95
train,050_1_c5_016058,4,9,8,2,30,26,29,19,52
train,050_1_c5_016059,2,5,18,27,15,27,4,37,93
train,050_1_c5_016060,1,4,13,23,24,5,40,29,75
train,050_1_c5_016061,1,6,13,7,29,2,28,24,98
train,050_1_c5_016062,0,2,15,14,33,34,31,24,90
train,050_1_c5_016063,4,9,7,19,4,24,44,5,24
train,050_1_c5_016064,4,1,8,19,30,26,44,5,57
train,050_1_c5_016065,2,0,0,8,8,22,20,72,17
train,050_1_c5_016066,4,9,8,2,30,46,44,34,57
train,050_1_c5_016067,1,9,8,23,30,1,14,70,91
train,050_1_c5_016068,2,5,5,17,25,31,42,37,1
train,051_1_c10_015522,4,1,7,19,4,24,3,25,24
train,051_1_c10_015523,4,1,7,11,11,40,3,20,15
train,051_1_c10_015524,4,1,7,11,38,40,45,25,42
train,051_1_c10_015525,3,3,4,15,36,45,27,27,69
train,051_1_c10_015526,1,4,3,5,37,28,25,4,45
train,051_1_c10_015527,4,1,7,11,11,40,45,20,15
train,051_1_c10_015528,2,9,3,24,38,42,19,57,11
train,051_1_c10_015529,2,5,5,17,2,12,47,37,1
train,051_1_c10_015530,1,6,18,27,15,44,7,73,30
train,051_1_c10_015531,4,7,7,19,4,7,30,60,42
train,051_1_c10_015532,2,3,4,0,5,29,34,22,94
train,051_1_c10_015533,4,7,9,22,13,26,33,71,44
train,051_1_c10_015534,3,8,16,12,31,41,36,42,41
train,051_1_c10_015535,4,1,7,19,4,24,3,17,24
train,051_1_c10_015536,3,8,11,3,0,21,32,62,54
train,051_1_c8_015537,3,3,4,15,36,45,27,27,29
train,051_1_c8_015538,4,1,0,28,27,22,2,56,17
train,051_1_c8_015539,2,0,17,16,26,9,57,39,80
train,051_1_c8_015540,1,9,1,19,1,10,30,48,3
train,051_1_c8_015541,2,0,0,28,14,13,10,32,17
train,051_1_c8_015542,3,8,16,12,31,41,36,16,41
train,051_1_c8_015543,4,1,10,11,11,40,45,71,44
train,051_1_c8_015544,3,3,4,0,35,29,34,27,18
train,051_1_c8_015545,4,1,10,26,21,3,2,61,48
train,051_1_c8_015546,2,5,5,9,23,49,6,23,43
train,051_1_c8_015547,3,8,16,12,31,20,23,54,41
train,051_1_c8_015548,3,8,11,3,31,21,23,62,56
train,051_1_c8_015549,1,4,3,20,12,46,0,45,59
train,051_1_c8_015550,1,9,3,23,37,28,25,4,45
train,051_1_c8_015551,2,9,17,5,37,1,35,70,83
train,053_1_c4_004610,3,8,16,12,31,20,23,42,41
train,053_1_c4_004611,3,3,4,0,5,19,34,27,21
train,053_1_c4_004612,1,9,12,1,32,7,14,15,91
train,053_1_c4_004613,1,9,1,23,32,10,14,45,3
train,053_1_c4_004614,1,6,12,1,32,18,59,43,19
train,040_3_c11_010761,1,4,13,29,18,5,40,6,75
train,045_1_c8_001410,3,8,16,12,31,20,23,54,54
train,045_1_c8_001411,2,0,19,8,27,22,16,11,9
train,045_1_c8_001412,2,0,17,16,5,9,57,39,50
train,045_1_c8_001413,4,1,10,26,21,38,46,40,95
train,045_1_c8_001414,1,3,14,15,36,45,27,63,6
train,045_1_c8_001415,3,4,3,29,22,6,15,8,2
train,045_1_c8_001416,1,4,3,29,18,17,40,77,2
train,045_1_c8_001417,2,0,17,5,37,28,26,67,93
train,045_1_c8_001418,4,7,9,22,13,26,33,21,44
train,045_1_c8_001419,4,1,10,11,11,40,45,20,48
train,045_1_c8_001420,3,9,3,5,37,1,25,49,88
train,045_1_c8_001421,3,8,4,0,35,39,34,14,18
train,045_1_c8_001422,2,6,12,1,32,18,59,43,19
train,045_1_c8_001423,0,4,2,20,19,14,51,34,59
train,045_1_c8_001428,0,7,9,6,6,4,17,58,62
train,045_2_c8_001429,0,5,5,9,25,31,55,69,73
train,045_2_c8_001430,2,5,5,9,23,49,6,65,49
train,045_2_c8_001431,4,1,7,19,30,26,3,5,52
train,045_2_c8_001432,4,1,10,26,21,38,46,40,95
train,045_2_c8_001433,4,7,9,1,32,18,30,17,7
train,045_2_c8_001434,4,0,12,8,27,22,16,17,86
train,045_2_c8_001435,3,4,2,20,19,14,51,45,40
train,045_2_c8_001436,1,6,13,7,19,17,8,50,37
train,047_1_c10_014898,1,7,18,22,25,31,55,69,73
train,047_1_c10_014899,3,4,3,24,38,42,19,57,11
train,047_1_c10_014900,4,1,7,19,4,24,3,25,24
train,047_1_c10_014901,0,2,15,14,33,48,37,33,67
train,047_1_c10_014902,0,2,15,4,33,48,43,74,67
train,047_1_c10_014903,4,7,9,19,4,24,30,67,42
train,047_1_c10_014904,0,2,15,4,33,48,43,74,32
train,047_1_c10_014905,1,6,8,10,9,25,22,60,68
train,047_1_c10_014906,1,9,1,10,30,33,41,60,79
train,047_1_c10_014907,2,5,18,27,15,27,7,69,73
train,047_1_c10_014908,4,1,7,19,4,26,3,25,15
train,047_1_c10_014909,1,6,13,23,24,2,9,10,39
train,047_1_c10_014910,1,9,1,23,1,10,14,10,91
train,047_1_c10_014911,4,7,9,22,13,37,33,21,7
train,047_1_c10_014912,1,6,6,13,17,25,21,50,98
train,047_1_c10_014913,0,2,2,14,10,25,22,51,38
train,047_1_c10_014914,0,2,15,25,7,11,31,31,26
train,047_1_c10_014915,0,2,6,14,10,25,22,53,38
train,047_1_c10_014916,0,2,15,4,33,11,37,33,22
train,047_1_c10_014917,0,2,15,25,33,11,31,31,67
train,047_1_c10_014918,1,6,13,7,17,2,21,50,1
train,047_1_c10_014919,1,6,13,7,24,44,39,13,30
train,047_1_c10_014965,1,6,13,7,24,5,38,55,68
train,047_1_c2_014920,1,6,13,7,10,44,8,44,98
train,047_1_c2_014921,0,5,5,9,23,43,6,64,72
train,047_1_c2_014922,1,4,13,7,19,14,51,45,14
train,047_1_c2_014923,1,6,13,10,9,33,9,28,76
train,047_1_c2_014924,1,6,1,10,9,33,9,28,76
train,047_1_c2_014925,0,2,15,4,34,34,43,24,10
train,047_1_c2_014926,1,6,18,27,15,44,28,44,77
train,047_1_c2_014927,3,4,2,18,16,35,24,6,71
train,047_1_c2_014928,2,3,14,6,6,32,17,7,6
train,047_1_c2_014929,1,4,3,29,38,42,19,57,11
train,047_1_c2_014930,3,4,8,2,12,46,0,3,97
train,047_1_c2_014931,1,9,14,23,1,10,35,7,91
train,047_1_c2_014932,4,1,8,2,30,26,29,3,97
train,047_1_c2_014933,0,6,18,27,29,44,54,73,77
train,047_1_c2_014934,2,5,0,9,25,27,52,69,43
train,047_1_c2_014935,0,5,9,21,3,16,56,0,89
train,047_1_c2_014936,1,7,1,22,25,7,42,15,35
train,047_1_c2_014937,1,4,13,20,19,14,51,29,36
train,047_1_c2_014938,1,6,13,7,24,5,38,73,30
train,047_1_c2_014939,3,4,3,5,37,1,26,49,71
train,047_1_c2_014940,4,9,3,24,38,42,19,57,11
train,047_1_c2_014941,3,8,11,3,16,21,18,26,56
train,047_1_c2_014942,0,6,18,10,9,33,9,28,5
train,047_1_c2_014966,1,7,1,13,17,36,41,28,76
train,047_1_c2_014967,0,5,18,27,25,31,55,2,73
train,047_1_c2_014968,1,7,1,13,3,36,56,78,39
train,047_1_c3_014943,1,9,8,2,12,1,44,34,57
train,047_1_c3_014944,3,4,12,1,10,18,15,8,65
train,047_1_c3_014945,3,8,11,3,22,21,11,62,54
train,047_1_c3_014946,3,8,11,3,22,6,32,38,56
train,047_1_c3_014947,4,5,0,28,26,13,10,32,93
train,047_1_c3_014948,0,7,9,22,13,37,33,58,70
train,047_1_c3_014949,1,7,1,19,1,7,30,48,7
train,047_1_c3_014950,2,5,5,9,25,15,55,65,72
train,047_1_c3_014951,1,6,13,23,24,2,38,10,39
