Category,Image,R_LA_5,R_LAC_5,R_A_5,N_LA_5,N_LAC_5,N_A_5,R_LA_10,R_LAC_10,R_A_10,N_LA_10,N_LAC_10,N_A_10,R_LA_15,R_LAC_15,R_A_15,N_LA_15,N_LAC_15,N_A_15,R_LA_20,R_LAC_20,R_A_20,N_LA_20,N_LAC_20,N_A_20,R_LA_25,R_LAC_25,R_A_25,N_LA_25,N_LAC_25,N_A_25,R_LA_30,R_LAC_30,R_A_30,N_LA_30,N_LAC_30,N_A_30,R_LA_35,R_LAC_35,R_A_35,N_LA_35,N_LAC_35,N_A_35,R_LA_40,R_LAC_40,R_A_40,N_LA_40,N_LAC_40,N_A_40
train,021_1_c4_011401,5.0,5.0,3.0,2.0,2.0,2.0,10.0,10.0,7.0,4.0,5.0,3.0,6.0,3.0,7.0,1.0,1.0,14.0,19.0,10.0,7.0,11.0,11.0,8.0,16.0,19.0,25.0,19.0,3.0,10.0,16.0,17.0,29.0,3.0,30.0,8.0,27.0,30.0,35.0,32.0,9.0,29.0,17.0,37.0,33.0,40.0,5.0,21.0
train,021_1_c4_011402,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,3.0,13.0,20.0,19.0,3.0,10.0,3.0,3.0,7.0,3.0,30.0,8.0,1.0,26.0,34.0,32.0,13.0,29.0,37.0,36.0,37.0,40.0,5.0,2.0
train,021_1_c4_011403,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,6.0,5.0,4.0,2.0,9.0,15.0,9.0,15.0,11.0,1.0,5.0,16.0,13.0,13.0,12.0,13.0,17.0,22.0,16.0,21.0,19.0,22.0,17.0,1.0,21.0,10.0,17.0,26.0,17.0,33.0,26.0,5.0,29.0,12.0,27.0,24.0,10.0,23.0,35.0,23.0
train,021_1_c4_011404,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,9.0,9.0,9.0,15.0,9.0,12.0,8.0,6.0,5.0,16.0,13.0,17.0,5.0,20.0,14.0,22.0,16.0,4.0,6.0,3.0,14.0,1.0,6.0,5.0,26.0,23.0,17.0,33.0,5.0,20.0,5.0,8.0,12.0,24.0,39.0,35.0,7.0,13.0
train,021_1_c4_011405,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,4.0,2.0,3.0,15.0,5.0,15.0,11.0,1.0,10.0,18.0,10.0,3.0,18.0,4.0,5.0,22.0,9.0,14.0,24.0,9.0,5.0,15.0,25.0,22.0,4.0,10.0,2.0,13.0,27.0,15.0,18.0,22.0,12.0,23.0,11.0,29.0,11.0,3.0
train,021_1_c4_011406,3.0,1.0,2.0,3.0,4.0,5.0,8.0,5.0,4.0,8.0,3.0,6.0,10.0,12.0,6.0,5.0,14.0,5.0,9.0,1.0,1.0,2.0,13.0,7.0,1.0,4.0,4.0,8.0,22.0,8.0,1.0,14.0,3.0,30.0,16.0,16.0,30.0,32.0,3.0,16.0,34.0,11.0,3.0,13.0,9.0,32.0,32.0,4.0
train,021_1_c4_011407,1.0,4.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,7.0,5.0,14.0,7.0,2.0,11.0,5.0,3.0,2.0,17.0,2.0,5.0,1.0,11.0,6.0,2.0,23.0,5.0,5.0,7.0,6.0,11.0,20.0,1.0,15.0,3.0,6.0,5.0,23.0,2.0,11.0,2.0,21.0,22.0,3.0,3.0,1.0,5.0
train,021_1_c4_011408,3.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,2.0,7.0,8.0,8.0,1.0,8.0,4.0,3.0,7.0,7.0,18.0,14.0,19.0,10.0,16.0,3.0,25.0,21.0,18.0,23.0,7.0,20.0,25.0,28.0,22.0,6.0,19.0,22.0,14.0,24.0,20.0,24.0,24.0,19.0,4.0,3.0,22.0,15.0,27.0,1.0
train,021_1_c4_011409,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,4.0,2.0,3.0,15.0,5.0,15.0,11.0,1.0,10.0,20.0,10.0,3.0,18.0,4.0,5.0,16.0,9.0,14.0,24.0,9.0,5.0,2.0,14.0,9.0,4.0,10.0,2.0,14.0,27.0,15.0,18.0,22.0,40.0,2.0,20.0,16.0,11.0,3.0
train,021_1_c4_011410,1.0,5.0,5.0,3.0,4.0,5.0,1.0,6.0,1.0,8.0,3.0,6.0,11.0,5.0,10.0,5.0,14.0,5.0,16.0,20.0,17.0,2.0,2.0,7.0,2.0,16.0,6.0,8.0,22.0,8.0,2.0,2.0,16.0,8.0,8.0,4.0,13.0,14.0,18.0,1.0,22.0,1.0,19.0,26.0,16.0,8.0,32.0,4.0
train,021_1_c5_011389,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,14.0,6.0,2.0,14.0,2.0,15.0,2.0,4.0,2.0,9.0,3.0,2.0,6.0,11.0,23.0,10.0,8.0,2.0,29.0,30.0,20.0,14.0,2.0,2.0,8.0,28.0,2.0,8.0,32.0,23.0,21.0,11.0,27.0,2.0,3.0,17.0
train,021_1_c5_011411,1.0,4.0,5.0,4.0,1.0,3.0,5.0,1.0,5.0,5.0,4.0,9.0,15.0,7.0,8.0,12.0,8.0,6.0,8.0,8.0,3.0,17.0,5.0,20.0,21.0,12.0,11.0,4.0,6.0,3.0,21.0,4.0,23.0,5.0,26.0,23.0,15.0,21.0,33.0,20.0,5.0,8.0,23.0,8.0,30.0,35.0,7.0,13.0
train,021_1_c5_011412,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,4.0,9.0,13.0,10.0,12.0,12.0,8.0,6.0,3.0,7.0,20.0,17.0,5.0,20.0,4.0,6.0,21.0,4.0,6.0,3.0,4.0,29.0,5.0,5.0,26.0,23.0,20.0,15.0,7.0,20.0,5.0,8.0,6.0,17.0,23.0,35.0,7.0,13.0
train,021_1_c5_011413,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,021_1_c5_011414,1.0,4.0,5.0,3.0,4.0,5.0,5.0,9.0,5.0,2.0,9.0,1.0,15.0,6.0,8.0,9.0,10.0,8.0,8.0,8.0,3.0,15.0,17.0,16.0,21.0,12.0,11.0,3.0,4.0,14.0,21.0,4.0,23.0,2.0,24.0,1.0,15.0,21.0,33.0,21.0,27.0,25.0,23.0,8.0,30.0,5.0,34.0,26.0
train,021_1_c5_011415,2.0,2.0,4.0,2.0,2.0,2.0,6.0,7.0,6.0,4.0,5.0,3.0,11.0,13.0,3.0,13.0,12.0,4.0,14.0,3.0,16.0,7.0,4.0,9.0,24.0,25.0,2.0,7.0,10.0,17.0,24.0,27.0,12.0,27.0,21.0,13.0,22.0,20.0,21.0,25.0,16.0,28.0,39.0,21.0,24.0,14.0,10.0,24.0
train,021_1_c5_011416,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,3.0,1.0,20.0,19.0,3.0,10.0,3.0,13.0,7.0,3.0,30.0,8.0,1.0,9.0,34.0,32.0,13.0,29.0,37.0,9.0,37.0,40.0,5.0,2.0
train,021_1_c5_011417,2.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,11.0,13.0,3.0,4.0,9.0,10.0,14.0,3.0,16.0,20.0,7.0,5.0,24.0,25.0,2.0,11.0,1.0,23.0,24.0,27.0,12.0,23.0,10.0,12.0,22.0,20.0,21.0,31.0,28.0,1.0,39.0,21.0,24.0,34.0,9.0,34.0
train,021_1_c6_011390,2.0,2.0,4.0,2.0,2.0,2.0,6.0,7.0,6.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,1.0,14.0,17.0,15.0,6.0,11.0,11.0,8.0,7.0,8.0,14.0,19.0,3.0,10.0,7.0,5.0,2.0,3.0,30.0,8.0,3.0,12.0,4.0,32.0,13.0,29.0,28.0,16.0,31.0,40.0,5.0,2.0
train,021_1_c6_011418,3.0,1.0,2.0,3.0,4.0,5.0,8.0,5.0,4.0,8.0,3.0,6.0,10.0,12.0,6.0,5.0,14.0,5.0,9.0,1.0,1.0,15.0,2.0,7.0,1.0,4.0,4.0,3.0,4.0,14.0,1.0,14.0,18.0,8.0,8.0,4.0,26.0,17.0,22.0,1.0,22.0,26.0,14.0,32.0,17.0,4.0,2.0,20.0
train,021_1_c6_011419,1.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,14.0,7.0,2.0,1.0,1.0,14.0,2.0,17.0,2.0,11.0,11.0,8.0,6.0,2.0,23.0,19.0,3.0,10.0,6.0,11.0,20.0,3.0,30.0,8.0,6.0,5.0,23.0,32.0,13.0,29.0,21.0,22.0,3.0,40.0,5.0,2.0
train,021_1_c6_011420,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,3.0,1.0,15.0,3.0,4.0,17.0,29.0,2.0,11.0,2.0,38.0,13.0,35.0,3.0,1.0,5.0
train,021_1_c6_011421,3.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,9.0,1.0,8.0,4.0,12.0,8.0,6.0,18.0,14.0,19.0,17.0,5.0,20.0,25.0,21.0,18.0,4.0,6.0,3.0,25.0,28.0,22.0,5.0,26.0,23.0,14.0,24.0,20.0,20.0,5.0,8.0,4.0,3.0,22.0,35.0,7.0,13.0
train,021_1_c6_011422,3.0,1.0,2.0,4.0,1.0,3.0,4.0,8.0,8.0,9.0,2.0,4.0,12.0,4.0,14.0,2.0,3.0,2.0,4.0,5.0,5.0,1.0,9.0,6.0,10.0,15.0,7.0,6.0,2.0,4.0,10.0,7.0,10.0,15.0,23.0,7.0,9.0,16.0,30.0,17.0,4.0,32.0,36.0,19.0,5.0,6.0,31.0,25.0
train,021_1_c6_011423,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,8.0,32.0,23.0,9.0,11.0,2.0,2.0,3.0,17.0
train,021_1_c6_011424,2.0,2.0,4.0,1.0,3.0,4.0,5.0,7.0,5.0,3.0,9.0,5.0,15.0,14.0,8.0,9.0,10.0,8.0,8.0,12.0,14.0,15.0,17.0,10.0,12.0,18.0,12.0,20.0,21.0,1.0,12.0,18.0,30.0,24.0,1.0,28.0,24.0,22.0,17.0,35.0,17.0,31.0,10.0,28.0,38.0,27.0,25.0,36.0
train,021_1_c6_011425,1.0,4.0,5.0,5.0,5.0,1.0,9.0,1.0,9.0,7.0,8.0,8.0,8.0,7.0,1.0,3.0,7.0,7.0,12.0,17.0,9.0,10.0,16.0,3.0,13.0,2.0,15.0,23.0,7.0,20.0,27.0,11.0,27.0,6.0,19.0,22.0,16.0,5.0,12.0,24.0,24.0,19.0,13.0,22.0,1.0,15.0,27.0,1.0
train,021_1_c9_011391,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,10.0,8.0,32.0,23.0,9.0,11.0,26.0,2.0,3.0,17.0
train,021_1_c9_011426,3.0,1.0,2.0,5.0,5.0,1.0,4.0,8.0,8.0,7.0,8.0,8.0,12.0,4.0,14.0,3.0,7.0,7.0,4.0,5.0,5.0,10.0,16.0,3.0,10.0,15.0,7.0,15.0,7.0,20.0,10.0,7.0,10.0,6.0,19.0,22.0,4.0,16.0,29.0,24.0,26.0,9.0,38.0,19.0,35.0,15.0,21.0,11.0
train,021_1_c9_011427,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,20.0,20.0,2.0,2.0,13.0,7.0,6.0,24.0,10.0,8.0,22.0,8.0,28.0,9.0,4.0,8.0,8.0,4.0,32.0,2.0,13.0,1.0,22.0,26.0,2.0,30.0,36.0,8.0,32.0,4.0
train,021_1_c9_011428,1.0,4.0,5.0,5.0,5.0,1.0,9.0,1.0,9.0,7.0,8.0,8.0,8.0,9.0,1.0,3.0,7.0,7.0,12.0,11.0,9.0,10.0,16.0,3.0,13.0,14.0,15.0,23.0,7.0,20.0,27.0,21.0,27.0,6.0,19.0,22.0,16.0,19.0,12.0,24.0,24.0,19.0,13.0,1.0,1.0,15.0,27.0,1.0
train,021_1_c9_011429,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,16.0,8.0,30.0,16.0,16.0,10.0,34.0,14.0,16.0,2.0,5.0,9.0,35.0,2.0,32.0,13.0,18.0
train,021_1_c9_011430,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,28.0,12.0,23.0,9.0,11.0,2.0,2.0,3.0,17.0
train,021_1_c9_011431,2.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,7.0,8.0,14.0,12.0,1.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,29.0,4.0,9.0,35.0,4.0,20.0,4.0,31.0,13.0,20.0,6.0
train,021_1_c9_011432,2.0,2.0,4.0,3.0,4.0,5.0,6.0,9.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,7.0,8.0,14.0,12.0,1.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,29.0,4.0,9.0,35.0,4.0,20.0,4.0,31.0,13.0,20.0,6.0
train,021_1_c9_011433,2.0,2.0,4.0,3.0,4.0,5.0,6.0,9.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,7.0,8.0,14.0,12.0,1.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,29.0,4.0,9.0,35.0,4.0,20.0,4.0,31.0,13.0,20.0,6.0
train,021_1_c9_011434,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,15.0,3.0,4.0,3.0,29.0,13.0,11.0,13.0,38.0,13.0,35.0,39.0,15.0,5.0
train,021_1_c9_011435,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,16.0,8.0,14.0,2.0,2.0,10.0,34.0,10.0,28.0,12.0,23.0,9.0,35.0,26.0,2.0,3.0,17.0
train,021_1_c9_011436,5.0,5.0,3.0,2.0,2.0,2.0,1.0,6.0,7.0,10.0,10.0,10.0,7.0,5.0,10.0,10.0,4.0,9.0,6.0,2.0,4.0,12.0,19.0,15.0,8.0,17.0,13.0,17.0,9.0,12.0,8.0,25.0,24.0,13.0,6.0,11.0,21.0,18.0,6.0,22.0,23.0,6.0,11.0,34.0,18.0,22.0,26.0,37.0
train,021_1_c9_011437,2.0,2.0,4.0,2.0,2.0,2.0,6.0,7.0,6.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,1.0,14.0,17.0,15.0,6.0,11.0,11.0,8.0,7.0,8.0,14.0,19.0,3.0,10.0,7.0,5.0,2.0,3.0,30.0,8.0,3.0,12.0,4.0,32.0,13.0,29.0,28.0,16.0,31.0,40.0,5.0,2.0
train,021_1_c9_011438,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,4.0,2.0,9.0,15.0,9.0,15.0,11.0,1.0,5.0,16.0,13.0,13.0,12.0,13.0,14.0,22.0,16.0,21.0,19.0,9.0,14.0,1.0,6.0,10.0,17.0,9.0,17.0,33.0,5.0,5.0,29.0,12.0,12.0,24.0,39.0,23.0,35.0,23.0
train,021_1_c9_011439,3.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,2.0,7.0,8.0,8.0,1.0,8.0,4.0,3.0,7.0,7.0,18.0,14.0,19.0,10.0,16.0,3.0,25.0,21.0,18.0,15.0,7.0,20.0,25.0,28.0,22.0,6.0,19.0,22.0,14.0,24.0,20.0,24.0,26.0,9.0,4.0,15.0,22.0,7.0,8.0,11.0
train,021_1_c9_011440,5.0,5.0,3.0,2.0,2.0,2.0,9.0,2.0,9.0,10.0,10.0,10.0,8.0,9.0,1.0,10.0,4.0,9.0,12.0,11.0,9.0,12.0,19.0,15.0,13.0,14.0,15.0,17.0,9.0,12.0,26.0,26.0,17.0,13.0,6.0,11.0,16.0,19.0,12.0,22.0,23.0,6.0,35.0,1.0,1.0,22.0,26.0,37.0
train,021_1_c9_011441,5.0,5.0,3.0,2.0,2.0,2.0,10.0,6.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,13.0,12.0,4.0,11.0,6.0,7.0,7.0,4.0,9.0,23.0,1.0,8.0,7.0,10.0,17.0,23.0,13.0,19.0,27.0,21.0,13.0,5.0,9.0,34.0,25.0,16.0,28.0,37.0,9.0,19.0,14.0,10.0,24.0
train,021_1_c9_011442,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,8.0,32.0,23.0,9.0,4.0,2.0,2.0,3.0,17.0
train,021_1_c9_011443,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,4.0,2.0,13.0,10.0,12.0,12.0,8.0,6.0,3.0,7.0,20.0,17.0,5.0,20.0,4.0,6.0,21.0,4.0,6.0,3.0,4.0,29.0,14.0,9.0,26.0,23.0,20.0,15.0,7.0,20.0,5.0,8.0,6.0,17.0,7.0,16.0,7.0,13.0
train,021_1_c9_011444,2.0,2.0,4.0,2.0,2.0,2.0,6.0,9.0,6.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,1.0,14.0,17.0,15.0,6.0,11.0,11.0,8.0,7.0,8.0,14.0,19.0,3.0,10.0,7.0,5.0,2.0,3.0,30.0,8.0,3.0,29.0,4.0,32.0,13.0,29.0,20.0,4.0,31.0,40.0,5.0,2.0
train,021_1_c9_011445,3.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,2.0,7.0,8.0,8.0,1.0,8.0,11.0,3.0,7.0,7.0,7.0,9.0,12.0,4.0,6.0,14.0,19.0,5.0,1.0,15.0,15.0,6.0,19.0,20.0,15.0,20.0,7.0,14.0,31.0,8.0,9.0,18.0,31.0,10.0,18.0,15.0,32.0,19.0,8.0,14.0
train,021_1_c9_011446,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,16.0,8.0,14.0,2.0,2.0,10.0,34.0,10.0,28.0,12.0,23.0,9.0,35.0,26.0,2.0,3.0,17.0
train,021_1_c9_011447,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,28.0,32.0,23.0,9.0,4.0,2.0,2.0,3.0,17.0
train,021_2_c4_011448,3.0,1.0,2.0,5.0,5.0,1.0,3.0,10.0,2.0,1.0,8.0,8.0,1.0,3.0,11.0,7.0,15.0,13.0,19.0,10.0,15.0,16.0,15.0,17.0,16.0,19.0,25.0,24.0,25.0,24.0,16.0,17.0,29.0,16.0,27.0,24.0,27.0,27.0,35.0,23.0,15.0,16.0,17.0,37.0,33.0,38.0,37.0,28.0
train,021_2_c4_011449,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,021_2_c4_011452,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,2.0,5.0,21.0,22.0,27.0,32.0,13.0,18.0
train,021_2_c4_011453,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,32.0,13.0,18.0
train,021_2_c4_011454,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,33.0,13.0,18.0
train,021_2_c4_011455,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,33.0,13.0,18.0
train,021_2_c4_011456,5.0,5.0,3.0,5.0,5.0,1.0,1.0,6.0,7.0,7.0,8.0,8.0,7.0,5.0,10.0,3.0,7.0,7.0,6.0,20.0,4.0,4.0,6.0,14.0,8.0,7.0,13.0,9.0,17.0,6.0,8.0,2.0,24.0,29.0,20.0,5.0,21.0,14.0,6.0,10.0,7.0,15.0,11.0,2.0,18.0,30.0,29.0,9.0
train,021_2_c4_011457,2.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,7.0,8.0,14.0,12.0,1.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,12.0,4.0,9.0,35.0,4.0,28.0,16.0,31.0,13.0,20.0,29.0
train,021_2_c4_011458,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,3.0,1.0,20.0,19.0,3.0,10.0,3.0,13.0,7.0,3.0,30.0,8.0,1.0,9.0,34.0,32.0,13.0,29.0,37.0,9.0,37.0,40.0,5.0,2.0
train,021_2_c4_011459,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,3.0,1.0,20.0,19.0,3.0,10.0,3.0,13.0,7.0,3.0,30.0,8.0,1.0,9.0,34.0,32.0,13.0,29.0,37.0,9.0,37.0,40.0,5.0,2.0
train,021_2_c4_011460,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,2.0,1.0,1.0,5.0,1.0,13.0,6.0,6.0,12.0,13.0,13.0,18.0,8.0,10.0,12.0,11.0,20.0,17.0,13.0,11.0,19.0,11.0,12.0,1.0,12.0,29.0,21.0,11.0,23.0,16.0,7.0,10.0,20.0,22.0,18.0,14.0,17.0,14.0,32.0
train,021_2_c4_011461,2.0,2.0,4.0,3.0,4.0,5.0,5.0,9.0,5.0,6.0,9.0,9.0,15.0,14.0,8.0,9.0,10.0,8.0,8.0,8.0,14.0,15.0,17.0,16.0,21.0,12.0,11.0,3.0,4.0,14.0,21.0,4.0,30.0,2.0,24.0,1.0,24.0,21.0,17.0,21.0,27.0,25.0,30.0,8.0,30.0,5.0,34.0,26.0
train,021_2_c4_011462,2.0,2.0,1.0,4.0,1.0,3.0,6.0,10.0,6.0,1.0,4.0,2.0,9.0,3.0,9.0,7.0,15.0,13.0,5.0,10.0,13.0,18.0,20.0,17.0,17.0,19.0,16.0,21.0,19.0,22.0,17.0,17.0,21.0,4.0,17.0,26.0,17.0,30.0,26.0,5.0,8.0,24.0,27.0,37.0,10.0,9.0,18.0,31.0
train,021_2_c4_011463,5.0,5.0,3.0,2.0,2.0,2.0,10.0,6.0,7.0,4.0,5.0,3.0,7.0,5.0,7.0,1.0,1.0,14.0,6.0,2.0,4.0,11.0,11.0,8.0,23.0,13.0,8.0,19.0,3.0,10.0,23.0,3.0,19.0,3.0,30.0,8.0,5.0,26.0,6.0,32.0,9.0,29.0,11.0,36.0,19.0,40.0,5.0,21.0
train,021_2_c4_011464,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,3.0,1.0,20.0,19.0,3.0,10.0,3.0,13.0,7.0,3.0,30.0,8.0,1.0,9.0,34.0,32.0,13.0,29.0,37.0,9.0,37.0,40.0,5.0,2.0
train,021_2_c4_011465,4.0,3.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,9.0,9.0,13.0,10.0,12.0,12.0,8.0,6.0,3.0,7.0,8.0,17.0,5.0,20.0,4.0,6.0,21.0,4.0,6.0,3.0,4.0,10.0,13.0,5.0,26.0,6.0,7.0,15.0,24.0,6.0,5.0,33.0,33.0,12.0,13.0,36.0,19.0,13.0
